# filename: cov_2x2pt.txt 
# description: Combined covariance matrix of DMASS angular galaxy custering (w) and 
# galaxy-galaxy lensing. 
# Consists of auto-covariance of 4 galaxy-galaxy lensing spectra (80 bins) and 
# 1 angular clustering spectra (20 bins), and cross-covariance of them 
# Each sub-block has a size of 20x20. Total size is 100x100. 
# 
# if you use this file, cite these papers below:
# http://arxiv.org/abs/1906.01136 
# http://arxiv.org/abs/2104.11319 
# https://arxiv.org/abs/1601.05779 
# 
# bin-index1 	 bin-index2 	 cov-mat 
7 	 61 	 1.5838740e-12
7 	 62 	 2.5201780e-12
7 	 63 	 4.0225930e-12
7 	 64 	 6.4557060e-12
7 	 65 	 1.0425020e-11
7 	 66 	 1.6979490e-11
7 	 67 	 2.3361000e-11
7 	 68 	 1.6305470e-11
7 	 69 	 9.6236150e-12
7 	 70 	 5.9878330e-12
7 	 71 	 3.9596130e-12
7 	 72 	 2.7416380e-12
7 	 73 	 1.9502070e-12
7 	 74 	 1.4002490e-12
7 	 75 	 1.0014600e-12
7 	 76 	 7.0413240e-13
7 	 77 	 4.8076600e-13
7 	 78 	 3.1484080e-13
7 	 79 	 1.9465810e-13
7 	 80 	 1.0546520e-13
7 	 81 	 8.2039170e-10
7 	 82 	 7.9253940e-10
7 	 83 	 7.4762170e-10
7 	 84 	 6.7438540e-10
7 	 85 	 5.5135240e-10
7 	 86 	 3.3061080e-10
7 	 87 	 1.8617240e-11
7 	 88 	 1.7229470e-11
7 	 89 	 3.9196670e-11
7 	 90 	 3.5127580e-11
7 	 91 	 2.5722680e-11
7 	 92 	 1.6529670e-11
7 	 93 	 9.1106990e-12
7 	 94 	 3.8043370e-12
7 	 95 	 4.8170270e-13
7 	 96 	 -1.2719740e-12
7 	 97 	 -1.8754120e-12
7 	 98 	 -1.7945320e-12
7 	 99 	 -1.3702860e-12
7 	 100 	 -6.3648530e-13
8 	 1 	 1.0248950e-11
8 	 2 	 1.6281950e-11
8 	 3 	 2.6139790e-11
8 	 4 	 4.2600230e-11
8 	 5 	 7.0375870e-11
8 	 6 	 1.2254040e-10
8 	 7 	 2.4743380e-10
8 	 8 	 1.3935660e-09
8 	 9 	 2.0410920e-10
8 	 10 	 9.1547480e-11
8 	 11 	 5.0529160e-11
8 	 12 	 2.9194470e-11
8 	 13 	 1.6851710e-11
8 	 14 	 9.5609770e-12
8 	 15 	 5.3011670e-12
8 	 16 	 2.8593680e-12
8 	 17 	 1.5041150e-12
8 	 18 	 7.6653950e-13
8 	 19 	 3.9002610e-13
8 	 20 	 1.6267820e-13
8 	 21 	 6.7916490e-13
8 	 22 	 1.0783500e-12
8 	 23 	 1.7156970e-12
8 	 24 	 2.7376960e-12
8 	 25 	 4.3847840e-12
8 	 26 	 7.0736910e-12
8 	 27 	 1.1507880e-11
8 	 28 	 1.5843810e-11
8 	 29 	 1.1203420e-11
8 	 30 	 6.8041760e-12
8 	 31 	 4.3870500e-12
8 	 32 	 2.9770530e-12
8 	 33 	 2.0859310e-12
8 	 34 	 1.4810370e-12
8 	 35 	 1.0509350e-12
8 	 36 	 7.3700330e-13
8 	 37 	 5.0470660e-13
8 	 38 	 3.3343270e-13
8 	 39 	 2.0963750e-13
8 	 40 	 1.1651320e-13
8 	 41 	 8.6018060e-13
8 	 42 	 1.3660020e-12
8 	 43 	 2.1741960e-12
8 	 44 	 3.4719640e-12
8 	 45 	 5.5683800e-12
8 	 46 	 9.0086630e-12
8 	 47 	 1.4755090e-11
8 	 48 	 2.0475440e-11
8 	 49 	 1.4318400e-11
8 	 50 	 8.6705180e-12
8 	 51 	 5.6282130e-12
8 	 52 	 3.8579020e-12
8 	 53 	 2.7308440e-12
8 	 54 	 1.9564000e-12
8 	 55 	 1.3972930e-12
8 	 56 	 9.8328860e-13
8 	 57 	 6.7310690e-13
8 	 58 	 4.4270580e-13
